node1	node2
YBR094W	YPL024W
YBR097W	YBR288C
YBR097W	YLR240W
YBR098W	YDR363W
YBR098W	YDR369C
YBR098W	YKL113C
YBR098W	YLR234W
YBR098W	YLR235C
YBR098W	YLR373C
YBR098W	YMR190C
YBR098W	YPL024W
YBR101C	YBR014C
YBR101C	YHL021C
YBR101C	YJL117W
YBR101C	YKL171W
YBR101C	YLL062C
YBR101C	YLR074C
YBR101C	YLR194C
YBR101C	YMR092C
YBR101C	YMR173W
YBR101C	YOL011W
YBR101C	YPL136W
YBR102C	YDR166C
YBR102C	YGL233W
YBR102C	YLR166C
YBR102C	YLR423C
YBR103W	YCR077C
YBR103W	YDR227W
YBR103W	YGL023C
YBR103W	YGL178W
YBR103W	YGL236C
YBR103W	YIL112W
YBR103W	YJR141W
YBR103W	YMR061W
YBR103W	YOR319W
YBR107C	YPL018W
YBR108W	YCR009C
YBR108W	YDR388W
YBR108W	YGR136W
YBR109C	YCR065W
YBR109C	YDR356W
YBR109C	YFR014C
YBR109C	YGL043W
YBR109C	YHR030C
YBR109C	YLR433C
YBR109C	YML057W
YBR109C	YMR109W
YBR109C	YOL016C
YBR109C	YOR326W
YBR110W	YDL055C
YBR112C	YCR084C
YBR112C	YDL194W
YBR112C	YDR043C
YBR112C	YDR477W
YBR112C	YIL061C
YBR112C	YMR240C
YBR112C	YOR140W
YBR113W	YDL043C
YBR114W	YIR009W
YBR114W	YJR052W
YBR114W	YLR147C
YBR117C	YIL061C
YBR118W	YLR249W
YBR119W	YDR110W
YBR119W	YLR223C
YBR119W	YLR449W
YBR119W	YML016C
YBR119W	YNL227C
YBR123C	YGR047C
YBR123C	YOR110W
YBR125C	YDR071C
YBR126C	YDL022W
YBR126C	YDR074W
YBR126C	YGL035C
YBR126C	YGL253W
YBR126C	YML100W
YBR126C	YMR261C
YBR127C	YGR117C
YBR127C	YOL018C
YBR128C	YPL120W
YBR130C	YHR107C
YBR131W	YDL043C
YBR131W	YML001W
YBR133C	YDL154W
YBR133C	YER087W
YBR133C	YJL187C
YBR133C	YKL101W
YBR133C	YNL094W
YBR133C	YPL016W
YBR134W	YOR128C
YBR135W	YBR160W
YBR135W	YBR252W
YBR135W	YDL155W
YBR135W	YDR078C
YBR135W	YGR108W
YBR135W	YLR210W
YBR135W	YPL256C
YBR135W	YPR119W
YBR136W	YDR499W
YBR136W	YGR180C
YBR136W	YIR009W
YBR138C	YIL046W
YBR139W	YOR381W
YBR140C	YBR195C
YBR141C	YDR372C
YBR141C	YGL091C
YBR143C	YDR172W
YBR143C	YMR080C
YBR146W	YIL070C
YBR149W	YDL211C
YBR149W	YNL128W
YBR152W	YGR075C
YBR154C	YFL023W
YBR154C	YOR116C
YBR155W	YDR463W
YBR155W	YJR032W
YBR155W	YMR186W
YBR155W	YPL240C
YBR156C	YPL209C
YBR158W	YDR111C
YBR160W	YDL017W
YBR160W	YDL020C
YBR160W	YDL155W
YBR160W	YDR168W
YBR160W	YDR245W
YBR160W	YFL029C
YBR160W	YFR052W
YBR160W	YGL073W
YBR160W	YGL178W
YBR160W	YGR108W
YBR160W	YGR109C
YBR160W	YGR274C
YBR160W	YHL007C
YBR160W	YHR030C
YBR160W	YJL194W
YBR160W	YKL048C
YBR160W	YKL145W
YBR160W	YLR079W
YBR160W	YLR210W
YBR160W	YMR199W
YBR160W	YMR273C
YBR160W	YNL064C
YBR160W	YNL189W
YBR160W	YOR142W
YBR160W	YPL256C
YBR160W	YPR119W
YBR160W	YPR120C
YBR162C	YBL095W
YBR162C	YBR192W
YBR162C	YGR249W
YBR162C	YNL217W
YBR162C	YOL028C
YBR162C	YPR155C
YBR162W-A	YIL027C
YBR162W-A	YLR090W
YBR162W-A	YML108W
YBR164C	YCR044C
YBR164C	YDL077C
YBR164C	YDL100C
YBR164C	YDL192W
YBR164C	YDR027C
YBR164C	YDR108W
YBR164C	YDR136C
YBR164C	YDR137W
YBR164C	YDR162C
YBR164C	YDR202C
YBR164C	YDR203W
YBR164C	YER083C
YBR164C	YER122C
YBR164C	YGL005C
YBR164C	YGR105W
YBR164C	YHL031C
YBR164C	YHR012W
YBR164C	YJL154C
YBR164C	YJR032W
YBR164C	YJR033C
YBR164C	YKL118W
YBR164C	YKL119C
YBR164C	YKR001C
YBR164C	YKR020W
YBR164C	YLR039C
YBR164C	YLR242C
YBR164C	YLR261C
YBR164C	YLR262C
YBR164C	YLR447C
YBR164C	YML071C
YBR164C	YMR004W
YBR164C	YMR054W
YBR164C	YMR123W
YBR164C	YNL041C
YBR164C	YNL043C
YBR164C	YNL044W
YBR164C	YNL051W
YBR164C	YNL238W
YBR164C	YNL296W
YBR164C	YNL297C
YBR164C	YOL018C
YBR164C	YOR068C
YBR164C	YOR069W
YBR164C	YOR070C
YBR164C	YOR132W
YBR165W	YDR054C
YBR167C	YHR062C
YBR170C	YDL126C
YBR170C	YDR259C
YBR170C	YGR048W
YBR170C	YOR254C
YBR171W	YCL057W
YBR171W	YHR041C
YBR171W	YML064C
YBR171W	YOR254C
YBR172C	YER148W
YBR172C	YIL004C
YBR172C	YKL074C
YBR172C	YLR116W
YBR172C	YLR268W
YBR172C	YPL085W
YBR175W	YGR249W
YBR175W	YHR177W
YBR175W	YIL160C
YBR175W	YOR047C
YBR178W	YHR122W
YBR182C	YPL089C
YBR184W	YNL225C
YBR185C	YER017C
YBR185C	YMR089C
YBR186W	YDR285W
YBR187W	YNR032W
YBR188C	YDR416W
YBR188C	YLL036C
YBR188C	YLR117C
YBR190W	YLR117C
YBR192W	YER078C
YBR193C	YDL005C
YBR193C	YER022W
YBR193C	YGL025C
YBR193C	YGL253W
YBR193C	YGR104C
YBR193C	YIL021W
YBR193C	YOL135C
YBR193C	YOR174W
YBR194W	YPR152C
YBR195C	YHR004C
YBR195C	YLR418C
YBR195C	YPR018W
YBR196C	YDL215C
YBR196C	YGL229C
YBR198C	YDR145W
YBR198C	YDR167W
YBR198C	YDR176W
YBR198C	YDR259C
YBR198C	YDR392W
YBR198C	YDR448W
YBR198C	YGL112C
YBR198C	YGR252W
YBR198C	YHR099W
YBR198C	YHR137W
YBR198C	YLR055C
YBR198C	YML061C
YBR198C	YMR236W
YBR198C	YOL148C
YBR198C	YPL254W
YBR200W	YCR038C
YBR200W	YDL178W
YBR200W	YDR103W
YBR200W	YDR264C
YBR200W	YEL043W
YBR200W	YER114C
YBR200W	YER155C
YBR200W	YFL039C
YBR200W	YGL233W
YBR200W	YGR134W
YBR200W	YGR152C
YBR200W	YHL007C
YBR200W	YHR129C
YBR200W	YIL118W
YBR200W	YJL157C
YBR200W	YJL187C
YBR200W	YKR055W
YBR200W	YLR229C
YBR200W	YOR188W
YBR202W	YEL032W
YBR202W	YIL150C
YBR202W	YLR103C
YBR202W	YLR274W
YBR203W	YKL006C-A
YBR205W	YFL038C
YBR205W	YGL212W
YBR205W	YHR105W
YBR205W	YLR338W
YBR205W	YMR060C
YBR205W	YPR107C
YBR207W	YGR152C
YBR211C	YDR394W
YBR211C	YOR269W
YBR213W	YMR206W
YBR216C	YKL068W
YBR216C	YML007W
YBR217W	YHR171W
YBR217W	YLR423C
YBR217W	YMR159C
YBR217W	YNR007C
YBR217W	YPL149W
YBR218C	YER065C
YBR218C	YNL117W
YBR221C	YLR345W
YBR223C	YDR510W
YBR228W	YLR135W
YBR229C	YBR221C
YBR229C	YDR389W
YBR229C	YFL036W
YBR229C	YGL084C
YBR229C	YGR157W
YBR229C	YHR030C
YBR229C	YHR101C
YBR229C	YHR108W
YBR229C	YJL095W
YBR229C	YKL203C
YBR229C	YLR087C
YBR229C	YMR200W
YBR229C	YMR307W
YBR229C	YNL322C
YBR229C	YOR068C
YBR229C	YOR069W
YBR229C	YOR070C
YBR230C	YOR014W
YBR233W	YER165W
YBR233W	YMR173W
YBR234C	YBL061C
YBR234C	YBL062W
YBR234C	YBR023C
YBR234C	YBR171W
YBR234C	YBR200W
YBR234C	YDR129C
YBR234C	YDR310C
YBR234C	YEL003W
YBR234C	YEL031W
YBR234C	YER083C
YBR234C	YER122C
YBR234C	YER149C
YBR234C	YER155C
YBR234C	YFR040W
YBR234C	YHL027W
YBR234C	YHR030C
YBR234C	YHR142W
YBR234C	YJL014W
YBR234C	YJL095W
YBR234C	YJL099W
YBR234C	YJL183W
YBR234C	YJR032W
YBR234C	YJR075W
YBR234C	YJR117W
YBR234C	YJR118C
YBR234C	YLR111W
YBR234C	YLR200W
YBR234C	YLR268W
YBR234C	YLR330W
YBR234C	YLR337C
YBR234C	YLR370C
YBR234C	YMR109W
YBR234C	YMR198W
YBR234C	YNL153C
YBR234C	YNL233W
YBR234C	YNL298W
YBR234C	YNL322C
YBR234C	YOR035C
YBR234C	YOR216C
YBR234C	YPL234C
YBR237W	YDL030W
YBR237W	YDL043C
YBR237W	YDR028C
YBR237W	YDR073W
YBR237W	YJL203W
YBR239C	YOR317W
YBR239C	YPL133C
YBR244W	YLR117C
YBR246W	YDR520C
YBR250W	YML038C
YBR250W	YNL012W
YBR252W	YLL037W
YBR252W	YNL189W
YBR253W	YMR112C
YBR254C	YDR108W
YBR254C	YDR246W
YBR254C	YDR407C
YBR254C	YDR472W
YBR254C	YGR166W
YBR254C	YHR041C
YBR254C	YJR116W
YBR254C	YKR068C
